Construction law (22.6.2017)	Law on architectural and engineering activity (22.6.2017)	Law on budget administration	Law on social security (22.6.2017)	Law on the guardian of human rights (22.6.2017)	Law on establishment of floor ownership	Law on pension bonus	Law on war burial sites	Law on equal opportunities for the disabled	Law on work inspection (20.6.2017)	Law on the right of the patient (20.6.2017)	Law on sport	Law on Roma community (30.5.2017)	Law on safety in railway traffic (30.5.2017)	Law on social security (30.5.2017)	Law on pension and disability insurance (30.5.2017)	Law on medical activity (30.5.2017)	Law on limiting the use of tobacco products	name	gender	education	party	date of birth	attendance	initiatives	speeches/session	words/session	age	mandates	voters	image	locality
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	Benedikt Kopmajer	m	6	DeSUS	1956-03-05 01:00:00	93.1	7.0	1.0	38424.0	61.0	1.0	1680.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P261	Dravograd-Radlje
quorum	1	quorum	quorum	1	1	quorum	1	1	0	0	0	1	1	1	1	0	0	Bojan Dobovšek	m	8	PS NP	1962-02-24 01:00:00	68.1	19.0	2.0	94859.0	55.0	1.0	5479.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P248	Ljubljana Bežigrad I
0	0	quorum	0	quorum	quorum	quorum	quorum	1	quorum	0	quorum	1	1	1	1	0	0	Bojan Podkrajšek	m	5	SMC	1968-01-08 01:00:00	74.4	101.0	2.0	91432.0	49.0	1.0	2383.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P277	Slovenske Konjice
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	Bojana Muršič	ž	8	SDS	1971-09-20 01:00:00	90.3	19.0	20.0	251450.0	45.0	1.0	523.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P275	Ruše
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Branislav Rajić	m	8	SMC	1962-05-09 01:00:00	95.3	6.0	2.0	38826.0	55.0	1.0	2778.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P281	Maribor VII
0	0	quorum	0	quorum	quorum	quorum												Branko Grims	m	8	SDS	1962-08-26 01:00:00	56.4	97.0	5.0	408343.0	55.0	4.0	3748.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P016	Kranj III
1	1	1	1	1	1	1				1	1	1	1	0	0	1	1	Branko Zorman	m	6	SMC	1970-09-25 01:00:00	94.4	2.0	3.0	82384.0	46.0	1.0	3958.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P295	Kranj I
0	0	quorum	0	quorum	quorum	quorum	quorum	1	0	0	quorum	1	1	1	1	0	quorum	Danijel Krivec	m	7	SDS	1965-05-16 01:00:00	73.1	145.0	3.0	205345.0	52.0	4.0	2526.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P040	Tolmin
1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Danilo Anton Ranc	m	7	SMC	1957-08-18 01:00:00	97.9	7.0	2.0	114904.0	60.0	1.0	4278.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P282	Ravne na Koroškem
1	1	1		1	1	1	1	1	1	1	1	1	1	0	0	1	1	Dragan Matić	m	8	SMC	1964-06-21 01:00:00	92.7	12.0	9.0	177927.0	53.0	1.0	3001.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P272	Ljubljana Moste-Polje II
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Dušan Verbič	m	8	SMC	1952-09-13 01:00:00	96.6	8.0	5.0	267327.0	64.0	1.0	4683.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P296	Ljubljana Šiška IV
											0	1	1	0	0	1	1	Erika Dekleva	ž	6	SMC	1969-12-02 01:00:00	87.9	8.0	1.0	69659.0	47.0	2.0	3243.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P247	Postojna
0	0	quorum	0	quorum	quorum	quorum	quorum	1	quorum	0	quorum	1	1	1	1	0	0	Eva Irgl	ž	5	SDS	1976-12-09 01:00:00	70.3	101.0	9.0	342039.0	40.0	4.0	3379.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P023	Ajdovščina
0	0	quorum	0	quorum	quorum	quorum	quorum	1	quorum	0								Franc Breznik	m	7	SDS	1970-07-23 01:00:00	58.0	139.0	4.0	560616.0	47.0	1.0	2099.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P167	Lenart
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	Franc Jurša	m	6	DeSUS	1953-09-21 01:00:00	88.2	19.0	2.0	121987.0	63.0	3.0	1539.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P122	Ljutomer
1	1	1	1	1	1	1	1	1	0	quorum	0	1	1	1	1	0	0	Franc Laj	m	7	PS NP	1962-07-18 01:00:00	67.8	9.0	1.0	74915.0	55.0	1.0	2612.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P267	Lendava
quorum	1	quorum	quorum	1	quorum	quorum	0	1	0	1								Franc Trček	m	8	Levica	1969-01-03 01:00:00	62.8	227.0	6.0	686849.0	48.0	1.0	560.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P290	Maribor IV
1	1	1	1	1	1	1		1	1	1	1	1	1	0	0	1	1	Igor Zorčič	m	7	SMC	1978-01-09 00:00:00	92.7	3.0	11.0	281027.0	39.0	1.0	3565.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P294	Brežice
1	1	1	1	1	1	1					0	1	1	0	1	1	1	Irena Grošelj Košnik	ž	6	SMC	1957-01-27 01:00:00	84.3	1.0	1.0	37056.0	60.0	1.0	2770.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P253	Trbovlje
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Irena Kotnik	ž	6	SMC	1955-02-01 01:00:00	90.8	3.0	1.0	22927.0	62.0	1.0	3210.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P264	Radovljica II
1	1	quorum	0	0	quorum	1					quorum	1	quorum	1	1	0	0	Iva Dimic	ž	6	NSI	1972-10-28 01:00:00	59.8	37.0	9.0	365485.0	44.0	2.0	1427.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P169	Cerknica-Logatec
1	1	1	1	1	1	1	1	1	1		1	1	1	1	0	1	1	Ivan Hršak	m	6	DeSUS	1957-12-25 01:00:00	90.0	7.0	4.0	53197.0	59.0	2.0	797.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P176	Hrastnik
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0		1	Ivan Prelog	m	5	SMC	1946-10-04 01:00:00	96.6	9.0	1.0	12138.0	70.0	1.0	3764.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P279	Maribor I
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Ivan Škodnik	m	7	SMC	1955-11-21 01:00:00	97.0	7.0	1.0	80625.0	61.0	1.0	3611.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P286	Dravograd-Radlje
											quorum	1	1	1	1	0	0	Janez Janša	m	7	SDS	1958-09-17 00:00:00	45.3	1.0	4.0	143165.0	58.0	7.0	6116.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P025	Grosuplje
							quorum	1	1	1	1	1	1	0	0	1	1	Jani Möderndorfer	m	5	SMC	1965-10-03 01:00:00	75.8	38.0	4.0	742389.0	51.0	2.0	701.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P191	Ljubljana Bežigrad II
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Janja Sluga	ž	6	SMC	1974-05-15 01:00:00	92.2	11.0	3.0	140668.0	43.0	1.0	4375.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P284	Celje II
quorum	quorum	1	1	1	1	1					0	1	1	1	0		1	Janko Veber	m	7	SD	1960-07-30 11:01:11	87.1	36.0	3.0	398961.0	57.0	5.0	1201.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P081	Kočevje
1	1	1	1	1	1	1	1	1	1	1								Jasna Murgel	ž	8	SMC	1970-06-20 01:00:00	91.5	6.0	2.0	142257.0	47.0	1.0	3118.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P274	Maribor V
0	0	quorum	0	quorum	quorum	quorum	quorum	1	quorum	0	quorum	1	1	1	1	0		Jelka Godec	ž	6	SDS	1969-11-21 01:00:00	49.0	209.0	4.0	343238.0	47.0	1.0	2139.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P252	Šentjur
1	1	quorum	0	0	quorum	1					quorum	1		1	1	0	0	Jernej Vrtovec	m	7	NSI	1985-05-24 00:00:00	61.2	35.0	3.0	316641.0	32.0	1.0	1422.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P292	Ajdovščina
											quorum	1	1	1	1	0	0	Jože Tanko	m	7	SDS	1956-04-16 01:00:00	81.5	99.0	6.0	528909.0	61.0	5.0	1975.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P077	Ribnica
							1	1	1	0	quorum	1	1	1	1	0	0	Jožef Horvat	m	7	NSI	1955-07-08 01:00:00	73.7	70.0	7.0	803984.0	62.0	3.0	1084.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P020	Lendava
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	quorum	quorum	Julijana Bizjak Mlakar	ž	8	DeSUS	1956-09-07 18:49:32	90.1	22.0	2.0	191727.0	60.0	1.0	1706.0	http://www.vlada.si/typo3temp/fl_realurl_image/20140916-bizjak-mlakar-nt-01-cs0.jpg	Kamnik
1	1	1	1	1	1	1	1	1	1	1								Kamal Izidor Shaker	m	5	SMC	1982-10-05 01:00:00	91.2	4.0	11.0	202884.0	34.0	1.0	4957.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P283	Domžale II
							1	1	1	1	1	1	1	0	0		1	Ksenija Korenjak Kramar	ž	6	SMC	1975-01-20 01:00:00	83.3	2.0	5.0	60495.0	42.0	1.0	3943.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P263	Maribor II
1	1	1	1	1	1	1	1	1	1	1	quorum	quorum	quorum	1	quorum		1	László Göncz	m	8	IMNS	1960-04-13 01:00:00	93.5	27.0	1.0	23208.0	57.0	3.0	2265.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P117	Lendava 1
0	0	quorum	0	quorum	quorum	quorum			0	0								Ljubo Žnidar	m	7	SDS	1960-12-22 01:00:00	73.7	140.0	2.0	151716.0	56.0	2.0	2316.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P212	Žalec I
1	1	quorum	0	0	quorum	1	1	1	1	0	quorum	1	1	1	1	0	0	Ljudmila Novak	ž	6	NSI	1959-08-01 01:00:00	70.1	29.0	3.0	152508.0	58.0	2.0	635.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P193	Ribnica
quorum	1	quorum	quorum	1	quorum	quorum	0	1	0	1	0	0	1	quorum	0	quorum	1	Luka Mesec	m	7	Levica	1987-07-01 02:00:00	78.5	67.0	5.0	434605.0	30.0	1.0	919.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P273	Trbovlje
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0		1	Marija Antonija Kovačič	ž	6	DeSUS	1946-03-11 01:00:00	94.6	5.0	2.0	50963.0	71.0	1.0	1186.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P297	Velenje I
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	Marija Bačič	ž	6	SD	1947-08-25 01:00:00	92.4	12.0	2.0	98815.0	70.0	1.0	1374.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P298	Murska Sobota I
0	0	quorum	0	quorum	quorum	quorum	quorum	1	quorum	0	quorum	1	1	1	1	0	0	Marijan Pojbič	m	5	SDS	1961-02-06 01:00:00	59.0	199.0	4.0	335988.0	56.0	4.0	2184.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P098	Pesnica
1	1	1	1	1	1	0	1	1	1	1								Marinka Levičar	ž	6	DeSUS	1951-07-05 01:00:00	88.1	5.0	3.0	60994.0	66.0	1.0	739.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P269	Kočevje
1	1	1	1	1	1	1					1	1	1	0	0	1	1	Marjan Dolinšek	m	5	SMC	1962-04-05 01:00:00	86.3	3.0	3.0	63592.0	55.0	1.0	3105.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P249	Zagorje
							1	1	1	1	1	1	1	1	0	1	1	Marjana Kotnik Poropat	ž	6	DeSUS	1944-01-27 01:00:00	87.4	4.0	2.0	105271.0	73.0	2.0	958.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P186	Ruše
1	1	1	1	1	1	1	1	1	1	1	1	1	1			1	1	Marko Ferluga	m	7	SMC	1967-10-05 01:00:00	90.6	35.0	2.0	214047.0	49.0	1.0	3349.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P250	Koper I
0	0	quorum	0	quorum	quorum	quorum	quorum	1	quorum	0	quorum	1	1	1	1	0	0	Marko Pogačnik	m	8	SDS	1972-01-30 01:00:00	80.4	93.0	7.0	321873.0	45.0	2.0	2862.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P196	Škofja Loka I
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Maruša Škopac	ž	6	SMC	1971-11-30 01:00:00	95.7	2.0	1.0	30155.0	45.0	1.0	4240.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P287	Jesenice
quorum	1	quorum	quorum	1	quorum	quorum	0	1	0	1	0	0	1	quorum	0	quorum	1	Matej Tašner Vatovec	m	8	Levica	1983-02-06 01:00:00	72.0	45.0	4.0	357010.0	34.0	1.0	880.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P288	Koper I
1	1	quorum	0	0	quorum	1												Matej Tonin	m	8	NSI	1983-07-30 02:00:00	60.7	57.0	3.0	345336.0	34.0	2.0	1938.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P204	Kamnik
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	Matjaž Han	m	4	SD	1971-01-17 01:00:00	91.0	4.0	2.0	144556.0	46.0	4.0	1332.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P018	Laško
quorum	1	quorum	quorum	1	quorum	quorum	0	1	0	1	0	0	1	quorum	0	quorum	1	Matjaž Hanžek	m	7	NeP	1949-08-13 01:00:00	44.8	37.0	3.0	91214.0	68.0	1.0	1210.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P256	Ljubljana Bežigrad II
1	1	1	1	1	1	1	1	1	1	1		1	1	1	0	1	1	Matjaž Nemec	m	6	SD	1980-04-10 01:00:00	80.9	46.0	18.0	209226.0	37.0	1.0	1467.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P276	Nova Gorica I
quorum	1	quorum	quorum	1	quorum	quorum	0	1	0	1	0	0	1	quorum	0	quorum	1	Miha Kordiš	m	6	Levica	1989-03-06 01:00:00	71.8	110.0	5.0	468766.0	28.0	1.0	2035.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P262	Škofja Loka I
1	1	1	1	1	1	1	1	1		1		1	1	0	0	1	1	Milan Brglez	m	8	SMC	1967-09-01 01:00:00	95.1	0.0	54.0	643569.0	49.0	1.0	4752.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P243	Ljubljana Bežigrad II
							1	1	0	quorum	quorum	1	1	1	1	0	0	Mirjam Bon Klanjšček	ž	8	PS NP	1954-07-18 01:00:00	62.2	42.0	11.0	146893.0	63.0	2.0	909.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P235	Nova Gorica II
1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	Mitja Horvat	m	8	SMC	1961-09-24 01:00:00	93.1	1.0	15.0	283073.0	55.0	1.0	3570.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P257	Ljubljana Vič-Rudnik II
0	0	quorum	0	quorum	quorum	quorum	quorum	1	quorum	0	0	1	1	1	1			Nada Brinovšek	ž	8	SDS	1961-04-24 01:00:00	60.3	224.0	2.0	143802.0	56.0	1.0	2043.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P244	Mozirje
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	Peter Vilfan	m	5	DeSUS	1957-06-29 01:00:00	77.8	4.0	6.0	77204.0	60.0	2.0	652.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P207	Ljubljana Šiška II
1	1	1	1	1	1	1	1	1		1	1	1	1	1	0	1	1	Primož Hainz	m	7	DeSUS	1947-02-04 01:00:00	86.3	20.0	38.0	215524.0	70.0	1.0	877.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P255	Vrhnika
							quorum	1		1	quorum	quorum	quorum	quorum	quorum	0	quorum	Roberto Battelli	m	5	IMNS	1954-10-19 01:00:00	66.7	1.0	8.0	65188.0	62.0	7.0	692.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P005	Koper 1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Simon Zajc	m	6	SMC	1980-06-25 01:00:00	97.4	5.0	3.0	93246.0	37.0	1.0	3854.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P293	Ljubljana Šiška III
1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	Simona Kustec Lipicer	ž	8	SMC	1976-06-19 01:00:00	94.7	4.0	2.0	95591.0	41.0	1.0	3293.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P266	Ljubljana Šiška I
0	0	quorum	0	quorum	quorum	quorum	quorum	1	quorum	0	quorum	1	1	1	1	0	0	Suzana Lep Šimenko	ž	6	SDS	1979-10-30 01:00:00	68.1	176.0	2.0	187775.0	37.0	1.0	2221.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P268	Ptuj III
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Tanja Cink	ž	8	SMC	1976-05-17 01:00:00	85.4	3.0	1.0	22608.0	41.0	1.0	4194.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P246	Ljubljana Šiška II
							1	1	1	1	1	1	1	1	0		1	Tomaž Gantar	m	7	DeSUS	1960-03-21 01:00:00	85.0	5.0	12.0	212301.0	57.0	1.0	1071.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P251	Piran
0	0	quorum	0	quorum	quorum	quorum	quorum	1	quorum	0	quorum	1	1	1	1	0	0	Tomaž Lisec	m	7	SDS	1978-02-19 01:00:00	71.7	225.0	7.0	435069.0	39.0	2.0	1943.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P187	Sevnica
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	quorum	Uroš Prikl	m	7	DeSUS	1972-09-18 01:00:00	93.8	22.0	11.0	459221.0	44.0	1.0	1245.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P280	Maribor VII
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Urška Ban	ž	6	SMC	1975-03-14 01:00:00	98.5	2.0	27.0	293217.0	42.0	1.0	5033.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P240	Novo Mesto II
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Vesna Vervega	ž	5	SMC	1965-07-02 01:00:00	95.0	9.0	1.0	34898.0	52.0	1.0	2438.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P291	Pesnica
0	0	quorum	0	quorum	quorum	quorum	quorum	1	quorum	0	quorum	1	1	1	1	0	0	Vinko Gorenak	m	8	SDS	1955-12-15 01:00:00	72.1	356.0	5.0	536592.0	61.0	4.0	2788.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P116	Šmarje pri Jelšah
quorum	1	quorum	quorum	1	quorum	quorum	0	1	0	1	0	0	1	quorum	0	quorum	1	Violeta Tomić	ž	6	Levica	1963-01-21 01:00:00	71.3	67.0	4.0	299831.0	54.0	1.0	1421.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P289	Ljubljana – center
1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	Vojka Šergan	ž	5	SMC	1957-03-06 00:00:00	98.0	9.0	1.0	94959.0	60.0	1.0	1547.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P285	Hrastnik
0	0	quorum	0	quorum	quorum	quorum												Žan Mahnič	m	5	SDS	1990-01-12 01:00:00	68.9	158.0	9.0	322199.0	27.0	1.0	2639.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P270	Škofja Loka II
1	1	quorum	0	0	quorum	1	1	1	1	0	quorum	1	1	1	1	0	0	Zvonko Lah	m	5	NSI	1958-01-21 01:00:00	75.7	55.0	3.0	391905.0	59.0	3.0	2314.0	http://www.dz-rs.si/wps/PA_DZ-LN-Osebe/CommonRes?idOseba=P129	Trebnje
